Day,Totall_deg, Vaccinated_deg,Infected_deg,Susceptible_deg,Recovered_deg, Totall_reg, Vaccinated_reg,Infected_reg,Susceptible_reg,Recovered_reg
1,15000,12000,1,3000,0,10000,0,0,10000,0
2,15000,12000,1,3000,0,10000,0,0,10000,0
3,15000,12000,1,3000,0,10000,0,0,10000,0
4,15000,12000,1,3000,0,10000,0,0,10000,0
5,15000,12000,3,2998,0,10000,0,0,10000,0
6,15000,12000,4,2997,0,10000,0,0,10000,0
7,15000,12000,4,2997,0,10000,0,0,10000,0
8,15000,12000,4,2997,0,10000,0,0,10000,0
9,15000,12000,5,2996,0,10000,0,0,10000,0
10,15000,12000,9,2992,0,10000,0,0,10000,0
11,15000,12000,12,2988,1,10000,0,0,10000,0
12,15000,12000,12,2988,1,10000,0,0,10000,0
13,15000,12000,15,2985,1,10000,0,0,10000,0
14,15000,12000,16,2984,1,10000,0,0,10000,0
15,15000,12000,20,2978,3,10000,0,0,10000,0
16,15000,12000,21,2977,3,10000,0,0,10000,0
17,15000,12000,22,2975,4,10000,0,0,10000,0
18,15000,12000,25,2972,4,10000,0,0,10000,0
19,15000,12000,30,2966,5,10000,0,0,10000,0
20,15000,12000,36,2959,6,10000,0,0,10000,0
21,15000,12000,42,2947,12,10000,0,0,10000,0
22,15000,12000,50,2938,13,10000,0,0,10000,0
23,15000,12000,65,2922,14,10000,0,0,10000,0
24,15000,12000,82,2903,16,10000,0,0,10000,0
25,15000,12000,101,2881,19,10000,0,0,10000,0
26,15000,12000,119,2859,23,10000,0,0,10000,0
27,15000,12000,155,2822,24,10000,0,0,10000,0
28,15000,12000,190,2783,28,10000,0,0,10000,0
29,15000,12000,238,2729,34,10000,0,0,10000,0
30,15000,12000,300,2662,39,10000,0,0,10000,0
31,15000,12000,368,2584,49,10000,0,0,10000,0
32,15000,12000,434,2509,58,10000,0,0,10000,0
33,15000,12000,518,2414,69,10000,0,0,10000,0
34,15000,12000,613,2300,88,10000,0,0,10000,0
35,15000,12000,709,2183,109,10000,0,0,10000,0
36,15000,12000,818,2052,131,10000,0,0,10000,0
37,15000,12000,932,1912,157,10000,0,0,10000,0
38,15000,12000,1031,1771,199,10000,0,0,10000,0
39,15000,12000,1121,1628,252,10000,0,3,9997,0
40,15000,12000,1214,1480,307,10000,0,12,9988,0
41,15000,12000,1285,1334,382,10000,0,43,9957,0
42,15000,12000,1339,1216,446,10000,0,141,9859,0
43,15000,12000,1378,1087,536,10000,0,482,9518,0
44,15000,12000,1378,970,653,10000,0,1439,8561,0
45,15000,12000,1381,864,756,10000,0,3570,6430,0
46,15000,12000,1354,761,886,10000,0,6461,3539,0
47,15000,12000,1300,684,1017,10000,0,8590,1410,0
48,15000,12000,1223,607,1171,10000,0,9503,497,0
49,15000,12000,1148,546,1307,10000,0,9851,148,1
50,15000,12000,1056,504,1441,10000,0,9955,41,4
51,15000,12000,927,475,1599,10000,0,9964,15,21
52,15000,12000,834,446,1721,10000,0,9927,3,70
53,15000,12000,727,419,1855,10000,0,9722,1,277
54,15000,12000,630,398,1973,10000,0,9112,0,888
55,15000,12000,537,379,2085,10000,0,7622,0,2378
56,15000,12000,447,363,2191,10000,0,5008,0,4992
57,15000,12000,371,351,2279,10000,0,2373,0,7627
58,15000,12000,309,340,2352,10000,0,896,0,9104
59,15000,12000,240,331,2430,10000,0,289,0,9711
60,15000,12000,200,326,2475,10000,0,85,0,9915
61,15000,12000,173,319,2509,10000,0,28,0,9972
62,15000,12000,147,316,2538,10000,0,7,0,9993
63,15000,12000,125,310,2566,10000,0,2,0,9998
64,15000,12000,105,304,2592,10000,0,0,0,10000
65,15000,12000,86,301,2614,10000,0,0,0,10000
66,15000,12000,69,300,2632,10000,0,0,0,10000
67,15000,12000,59,298,2644,10000,0,0,0,10000
68,15000,12000,52,295,2654,10000,0,0,0,10000
69,15000,12000,43,291,2667,10000,0,0,0,10000
70,15000,12000,42,286,2673,10000,0,0,0,10000
71,15000,12000,39,284,2678,10000,0,0,0,10000
72,15000,12000,36,282,2683,10000,0,0,0,10000
73,15000,12000,30,282,2689,10000,0,0,0,10000
74,15000,12000,26,281,2694,10000,0,0,0,10000
75,15000,12000,21,281,2699,10000,0,0,0,10000
76,15000,12000,20,281,2700,10000,0,0,0,10000
77,15000,12000,17,281,2703,10000,0,0,0,10000
78,15000,12000,17,281,2703,10000,0,0,0,10000
79,15000,12000,12,281,2708,10000,0,0,0,10000
80,15000,12000,7,281,2713,10000,0,0,0,10000
81,15000,12000,5,281,2715,10000,0,0,0,10000
82,15000,12000,2,281,2718,10000,0,0,0,10000
83,15000,12000,1,281,2719,10000,0,0,0,10000
84,15000,12000,0,281,2720,10000,0,0,0,10000
