Day,Totall_deg, Vaccinated_deg,Infected_deg,Susceptible_deg,Recovered_deg, Totall_reg, Vaccinated_reg,Infected_reg,Susceptible_reg,Recovered_reg
1,15000,12000,1,3000,0,15000,0,0,15000,0
2,15000,12000,1,3000,0,15000,0,0,15000,0
3,15000,12000,1,3000,0,15000,0,0,15000,0
4,15000,12000,2,2999,0,15000,0,0,15000,0
5,15000,12000,2,2999,0,15000,0,0,15000,0
6,15000,12000,4,2997,0,15000,0,0,15000,0
7,15000,12000,5,2996,0,15000,0,0,15000,0
8,15000,12000,5,2996,0,15000,0,0,15000,0
9,15000,12000,6,2995,0,15000,0,0,15000,0
10,15000,12000,8,2993,0,15000,0,0,15000,0
11,15000,12000,8,2992,1,15000,0,0,15000,0
12,15000,12000,13,2987,1,15000,0,0,15000,0
13,15000,12000,15,2985,1,15000,0,0,15000,0
14,15000,12000,18,2981,2,15000,0,0,15000,0
15,15000,12000,21,2978,2,15000,0,0,15000,0
16,15000,12000,23,2974,4,15000,0,0,15000,0
17,15000,12000,29,2968,4,15000,0,0,15000,0
18,15000,12000,33,2963,5,15000,0,0,15000,0
19,15000,12000,44,2952,5,15000,0,0,15000,0
20,15000,12000,60,2935,6,15000,0,0,15000,0
21,15000,12000,69,2923,9,15000,0,0,15000,0
22,15000,12000,101,2890,10,15000,0,0,15000,0
23,15000,12000,118,2868,15,15000,0,0,15000,0
24,15000,12000,140,2844,17,15000,0,0,15000,0
25,15000,12000,181,2799,21,15000,0,0,15000,0
26,15000,12000,215,2761,25,15000,0,0,15000,0
27,15000,12000,254,2720,27,15000,0,0,15000,0
28,15000,12000,311,2656,34,15000,0,0,15000,0
29,15000,12000,389,2571,41,15000,0,0,15000,0
30,15000,12000,451,2491,59,15000,0,0,15000,0
31,15000,12000,542,2390,69,15000,0,0,15000,0
32,15000,12000,620,2285,96,15000,0,0,15000,0
33,15000,12000,718,2164,119,15000,0,0,15000,0
34,15000,12000,827,2032,142,15000,0,0,15000,0
35,15000,12000,946,1877,178,15000,0,0,15000,0
36,15000,12000,1068,1711,222,15000,0,0,15000,0
37,15000,12000,1202,1541,258,15000,0,0,15000,0
38,15000,12000,1286,1399,316,15000,0,0,15000,0
39,15000,12000,1346,1269,386,15000,0,4,14996,0
40,15000,12000,1387,1138,476,15000,0,6,14994,0
41,15000,12000,1423,1016,562,15000,0,20,14980,0
42,15000,12000,1446,899,656,15000,0,70,14930,0
43,15000,12000,1429,797,775,15000,0,209,14791,0
44,15000,12000,1394,699,908,15000,0,628,14372,0
45,15000,12000,1331,615,1055,15000,0,1895,13105,0
46,15000,12000,1235,553,1213,15000,0,4961,10039,0
47,15000,12000,1127,496,1378,15000,0,9372,5628,0
48,15000,12000,1015,448,1538,15000,0,12687,2313,0
49,15000,12000,917,418,1666,15000,0,14201,797,2
50,15000,12000,807,392,1802,15000,0,14744,251,5
51,15000,12000,716,359,1926,15000,0,14915,76,9
52,15000,12000,615,337,2049,15000,0,14938,24,38
53,15000,12000,522,322,2157,15000,0,14863,6,131
54,15000,12000,431,308,2262,15000,0,14611,1,388
55,15000,12000,354,302,2345,15000,0,13835,1,1164
56,15000,12000,287,295,2419,15000,0,11737,0,3263
57,15000,12000,238,289,2474,15000,0,7839,0,7161
58,15000,12000,182,286,2533,15000,0,3769,0,11231
59,15000,12000,151,285,2565,15000,0,1434,0,13566
60,15000,12000,118,283,2600,15000,0,479,0,14521
61,15000,12000,93,281,2627,15000,0,153,0,14847
62,15000,12000,67,281,2653,15000,0,44,0,14956
63,15000,12000,50,279,2672,15000,0,13,0,14987
64,15000,12000,39,275,2687,15000,0,2,0,14998
65,15000,12000,31,273,2697,15000,0,1,0,14999
66,15000,12000,26,272,2703,15000,0,0,0,15000
67,15000,12000,22,271,2708,15000,0,0,0,15000
68,15000,12000,16,271,2714,15000,0,0,0,15000
69,15000,12000,15,270,2716,15000,0,0,0,15000
70,15000,12000,14,270,2717,15000,0,0,0,15000
71,15000,12000,12,270,2719,15000,0,0,0,15000
72,15000,12000,11,270,2720,15000,0,0,0,15000
73,15000,12000,9,270,2722,15000,0,0,0,15000
74,15000,12000,7,270,2724,15000,0,0,0,15000
75,15000,12000,5,270,2726,15000,0,0,0,15000
76,15000,12000,3,270,2728,15000,0,0,0,15000
77,15000,12000,1,270,2730,15000,0,0,0,15000
78,15000,12000,1,270,2730,15000,0,0,0,15000
79,15000,12000,0,270,2731,15000,0,0,0,15000
