Day,Totall_deg, Vaccinated_deg,Infected_deg,Susceptible_deg,Recovered_deg, Totall_reg, Vaccinated_reg,Infected_reg,Susceptible_reg,Recovered_reg
1,15000,3000,8,11993,0,10000,1000,0,9000,0
2,15000,3000,18,11983,0,10000,1000,0,9000,0
3,15000,3000,45,11956,0,10000,1000,0,9000,0
4,15000,3000,119,11882,0,10000,1000,0,9000,0
5,15000,3000,317,11684,0,10000,1000,0,9000,0
6,15000,3000,837,11164,0,10000,1000,0,9000,0
7,15000,3000,2048,9953,0,10000,1000,0,9000,0
8,15000,3000,4234,7767,0,10000,1000,4,8996,0
9,15000,3000,7006,4995,0,10000,1000,8,8992,0
10,15000,3000,9394,2607,0,10000,1000,31,8969,0
11,15000,3000,10866,1130,5,10000,1000,94,8906,0
12,15000,3000,11495,496,10,10000,1000,305,8695,0
13,15000,3000,11764,207,30,10000,1000,844,8156,0
14,15000,3000,11851,74,76,10000,1000,2135,6865,0
15,15000,3000,11774,25,202,10000,1000,4353,4647,0
16,15000,3000,11436,10,555,10000,1000,6625,2375,0
17,15000,3000,10621,4,1376,10000,1000,8049,951,0
18,15000,3000,8918,2,3081,10000,1000,8641,356,3
19,15000,3000,6395,2,5604,10000,1000,8879,116,5
20,15000,3000,3717,2,8282,10000,1000,8941,40,19
21,15000,3000,1797,2,10202,10000,1000,8935,11,54
22,15000,3000,746,2,11253,10000,1000,8808,3,189
23,15000,3000,336,2,11663,10000,1000,8471,1,528
24,15000,3000,136,2,11863,10000,1000,7612,0,1388
25,15000,3000,38,2,11961,10000,1000,5849,0,3151
26,15000,3000,14,2,11985,10000,1000,3480,0,5520
27,15000,3000,5,2,11994,10000,1000,1553,0,7447
28,15000,3000,0,2,11999,10000,1000,614,0,8386
29,15000,3000,0,2,11999,10000,1000,215,0,8785
30,15000,3000,0,2,11999,10000,1000,71,0,8929
31,15000,3000,0,2,11999,10000,1000,24,0,8976
32,15000,3000,0,2,11999,10000,1000,6,0,8994
33,15000,3000,0,2,11999,10000,1000,1,0,8999
34,15000,3000,0,2,11999,10000,1000,0,0,9000
